,user_name,user_location,date,text,rating
147,niiiina,• houyalor,2022-09-26 13:20:57+00:00,@meunomeehmestre pitty vai tocar no tusca???? pq eu n comprei essa merda msm?,
148,Chei🇾🇪🇦🇷,"São Paulo, Brasil",2022-09-26 13:10:54+00:00,"arrependida de ter comprado ingresso pro Tusca, vou perder a corrida em Interlagos, show do The Killers, 21 pilots e do Liam 🫠🫠",
149,ise,,2022-09-26 12:39:04+00:00,a vontade q tô de ir no tusca pqp,
150,boiadeira,,2022-09-26 12:05:40+00:00,Sonhei q eu fui no the town de vip com 3 amigos e a anitta era minha prima e tava cmg e dps a gente tava hospedado num aloja igual do tusca mas tinha um show da lorde na praça da se e o pioneiro queria ir entao fui eu ele a anitta e a rainha elizabeth num uber q levava 94 min,
151,Natasha,São Carlos - SP,2022-09-26 11:14:41+00:00,4 dias seguidos bebendo. Acho que aguento mais um tusca sim,
152,nobel 13,,2022-09-26 11:03:15+00:00,Cadê o kit tusca da afef???????,
153,didie,São Carlos 🔄 Pompéia,2022-09-26 04:32:06+00:00,"@Rafaocarai esquece essa ideia, vai na que você precisa calibrar seu corpo pro tusca",
154,Anne kellen,"São Carlos, Brasil",2022-09-26 04:10:32+00:00,"Vai tomar no cu de vocês
Pitty no tusca
Vsf",
155,ℎ𝑎𝑛𝑑𝑒𝑚ᵇᵏᵖᵖ Love In The Rain ⛈,ele/dele,2022-09-26 04:09:57+00:00,"to aqui quebrando a cabeça de como caralhos eu vo comprar meu tusca, meu perfume de 600 conto e dois sapatos novos 😭😭",
156,-,,2022-09-26 03:39:58+00:00,@bgianninipieron 1 mês e meio pro tusca 😭😭😭👍🏼👍🏼🙏🏼🙏🏼🙏🏼,
157,o dotorugo,,2022-09-26 03:24:29+00:00,"férias fazer um mês de detox sem beber nem fumar, guardar a saúde pra tusca",
158,vulgo Manauxxx 💥,"Campinas, Brasil",2022-09-26 02:34:11+00:00,Que a Amanda não solte minha mão no Tusca! 😩🙏 kkkkkkk,
159,vulgo Manauxxx 💥,"Campinas, Brasil",2022-09-26 02:33:17+00:00,"Preciso achar lugar pra ficar durante o Tusca, não quero alojas hahaha",
160,mari,,2022-09-26 02:26:39+00:00,ela cantando essa no tusca e eu chorando https://t.co/zy2m3Iz14q,
161,Murilo 🖐🏿,,2022-09-26 02:17:03+00:00,"Se a Ludmilla cantasse isso no TUSCA, eu ficaria muito maluco https://t.co/UJ5x13YgOI",
162,Jurídico Casa Targaryen,"São Carlos, Brasil",2022-09-26 01:22:30+00:00,Nossa isso foi um aniversário ou um dia de tusca,
163,Ego superior,"São Carlos, Brasil",2022-09-26 00:30:08+00:00,"Amanhã começo minha preparação pro tusca , vou sumir um pouco porque preciso me encontrar porque eu me perdi dentro de mim. Talvez eu até venda a corotada final visto que o jp não vai",
164,Ego superior,"São Carlos, Brasil",2022-09-26 00:20:48+00:00,"Mano vendo a entrevista da Loud, vê que o mais importante que treino e habilidade, é a união do time , percebo que a gente não vai ganhar tusca esse ano",
165,Gabriela,São José dos Campos,2022-09-25 23:52:57+00:00,por favor alguém compra meu tusca que eu preciso ir no junfri e se eu n for ficarei mais na merda do que agora (se é que isso é possível,
166,fonfon,"São Carlos, Brasil",2022-09-25 23:26:35+00:00,"economiadas = água quente no pé 
metaamorfose = água quente no pé 
back to black = água quente no pé 
casamento = água quente no pé 
tusca = ⌛",
167,giovanna ⭐1️⃣3️⃣,"Sorocaba, Brasil",2022-09-25 22:50:57+00:00,"o tusca não foi um delírio coletivo, de fato vai rolar https://t.co/vtKod8R4hF",
168,Safa 강튼튼 👷🏼 MAGICMAN addicted,outa this world,2022-09-25 22:44:17+00:00,Que felicidade ver que tem 14 pessoas na lista do tusca do polo!!! Da timeee,
169,Vitão,,2022-09-25 21:34:56+00:00,Pqp acabei de perceber que o djonga vai fazer o show no tusca já com o álbum novo vsf vai ser bom demais,
170,Joao_Bisanha,,2022-09-25 20:49:26+00:00,@larissa_brazao @anaptoneloto to brisando em ir no tusca,
171,1️⃣3️⃣⭐,,2022-09-25 20:42:16+00:00,o dedo coçando pra ir no tusca mas o coração se prendendo ao inter,
172,Reflexo,"Limeira, Brasil",2022-09-25 20:31:55+00:00,Contando p minha mãe dos meus planos no tusca e ela ta me olhando com cara de desgosto,
173,ana laura 🦦,016 - 021,2022-09-25 20:30:44+00:00,@Mateuslycooper aguenta até o tusca cuteus,
174,Bolis,Sao Carlos,2022-09-25 20:02:42+00:00,RT @BotTusca: Faltam 48 dias para o início do TUSCA,
175,Emanoela :):,"Araraquara, Brasil",2022-09-25 19:42:56+00:00,Será que eu vou no tusca ou não vou?,
